pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,srid,sess_other,h1sess,h2sess,h3sess,req_other,h1req,h2req,h3req,proto,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,h1_open_connections,h1_open_streams,h1_total_connections,h1_total_streams,h1_bytes_in,h1_bytes_out,h1_spliced_bytes_in,h1_spliced_bytes_out,
my_frontend_1,FRONTEND,,,0,0,524264,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,0,,0,0,0,0,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,tcp,,0,0,0,,0,0,0,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
my_backend_1,my_server,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,5299,,,1,3,1,,0,,2,0,,0,,,,,,,,,0,,,,,0,0,,,,,-1,,,0,0,0,0,,,,,,,,,,,,192.168.101.10:5074,,tcp,,,,,,,,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
my_backend_1,BACKEND,0,0,0,0,52427,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,5299,0,,1,3,0,,0,,1,0,,0,,,,,,,,,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,,,,,,,,,,,,,,tcp,roundrobin,,,,,,,0,0,0,,,,,0,0,0,0,0,,,,,1,0,0,0,,,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


# Header Descriptions:
# pxname: Proxy name (frontend/backend)
# svname: Server name or special keywords like FRONTEND/BACKEND
# qcur: Current number of queued requests
# qmax: Maximum number of queued requests observed
# scur: Current number of active sessions
# smax: Maximum number of concurrent sessions observed
# slim: Session limit
# stot: Total number of sessions (connections) handled
# bin: Total bytes received
# bout: Total bytes sent
# dreq: Denied requests due to security or rules
# dresp: Denied responses due to security or rules
# ereq: Number of request errors
# econ: Number of connection errors with backend
# eresp: Number of response errors from backend
# wretr: Number of retries on backend
# wredis: Number of redispatches to another backend
# status: Current status (UP; DOWN; OPEN)
# weight: Server weight for load balancing
# act: Number of active servers in the backend
# bck: Number of backup servers in the backend
# chkfail: Number of failed health checks
# chkdown: Number of times server was marked down
# lastchg: Time since the last status change (seconds)
# downtime: Total downtime since start (seconds)
# qlimit: Maximum queue size
# pid: Process ID of HAProxy instance
# iid: Proxy ID (unique within a process)
# sid: Server ID (unique within a proxy)
# throttle: Throttle percentage for slow starts
# lbtot: Total number of sessions selected via load balancing
# tracked: Tracks another proxy's status
# type: Proxy type (0:frontend; 1:backend; 2:server)
# rate: Number of sessions per second over the last second
# rate_lim: Configured session rate limit
# rate_max: Maximum observed session rate
# check_status: Status of last health check
# check_code: Response code from last health check
# check_duration: Duration of last health check (ms)
# hrsp_1xx: HTTP responses with 1xx status codes
# hrsp_2xx: HTTP responses with 2xx status codes
# hrsp_3xx: HTTP responses with 3xx status codes
# hrsp_4xx: HTTP responses with 4xx status codes
# hrsp_5xx: HTTP responses with 5xx status codes
# hrsp_other: HTTP responses with nonstandard codes
# hanafail: Failed handshakes
# req_rate: Request rate over the last second
# req_rate_max: Maximum observed request rate
# req_tot: Total requests handled
# cli_abrt: Client-side aborts
# srv_abrt: Server-side aborts
# comp_in: Bytes in for HTTP compression
# comp_out: Bytes out after HTTP compression
# comp_byp: Bytes bypassed for HTTP compression
# comp_rsp: Number of compressed responses
# lastsess: Time since the last session (seconds)
# last_chk: Last health check result
# last_agt: Last agent check result
# qtime: Request time (ms)
# ctime: Connection time (ms)
# rtime: Response time (ms)
# ttime: Total time (ms)
# agent_status: Current agent status
# agent_code: Agent response code
# agent_duration: Agent check duration (ms)
# check_desc: Description of last health check
# agent_desc: Description of last agent check
# check_rise: Number of successful checks required to mark up
# check_fall: Number of failures required to mark down
# check_health: Current health score
# agent_rise: Number of agent successes required to mark up
# agent_fall: Number of agent failures required to mark down
# agent_health: Current agent health score
# addr: Address of the server
# cookie: Cookie value for the server
# mode: Mode of the proxy (HTTP; TCP)
# algo: Load balancing algorithm
# conn_rate: Connection rate over the last second
# conn_rate_max: Maximum observed connection rate
# conn_tot: Total connections handled
# intercepted: Connections intercepted for transparent proxy
# dcon: Connections denied due to security
# dses: Sessions denied due to security
# wrew: Number of retries to establish a connection
# connect: Number of successful connections
# reuse: Number of connection reuses
# cache_lookups: Number of cache lookups
# cache_hits: Number of cache hits
# srv_icur: Current number of connections on the server
# src_ilim: Source connection limit
# qtime_max: Maximum observed queue time (ms)
# ctime_max: Maximum observed connection time (ms)
# rtime_max: Maximum observed response time (ms)
# ttime_max: Maximum observed total time (ms)
# eint: Errors intercepted
# idle_conn_cur: Current number of idle connections
# safe_conn_cur: Current number of safe connections
# used_conn_cur: Current number of used connections
# need_conn_est: Number of connections needed to establish
# uweight: Weight for servers in use
# agg_server_status: Aggregated server status
# agg_server_check_status: Aggregated server health check status
# agg_check_status: Aggregated check status
# srid: Session ID for current requests
# sess_other: Sessions from other proxies
# h1sess: HTTP/1.1 sessions
# h2sess: HTTP/2 sessions
# h3sess: HTTP/3 sessions
# req_other: Requests from other proxies
# h1req: HTTP/1.1 requests
# h2req: HTTP/2 requests
# h3req: HTTP/3 requests
# proto: Protocol in use
# -: Reserved field (not used)
# ssl_sess: SSL sessions
# ssl_reused_sess: Reused SSL sessions
# ssl_failed_handshake: Failed SSL handshakes
# h2_headers_rcvd: HTTP/2 headers received
# h2_data_rcvd: HTTP/2 data frames received
# h2_settings_rcvd: HTTP/2 settings frames received
# h2_rst_stream_rcvd: HTTP/2 reset stream frames received
# h2_goaway_rcvd: HTTP/2 goaway frames received
# h2_detected_conn_protocol_errors: HTTP/2 connection-level protocol errors
# h2_detected_strm_protocol_errors: HTTP/2 stream-level protocol errors
